2018-06-30 14:12:19,336 [1] INFO  Charon.Program - Started at 'C:\Users\kwan\Desktop\damage' with arguments 'SERVE C:\Users\kwan\Desktop\damage\Assets\Editor\GameDevWare.Charon\GameData.gdjs --port 19859 --watchPid 9992 --lockFile C:\Users\kwan\Desktop\damage\Library\Charon\Charon.lock --environment Unity --extensions None --scriptAssemblies C:\Users\kwan\Desktop\damage\Library\ScriptAssemblies\Assembly-CSharp.dll'.
2018-06-30 14:12:19,345 [1] INFO  Charon.Program - Product Name: Charon.
2018-06-30 14:12:19,345 [1] INFO  Charon.Program - Product Version: 2018.2.1.0.
2018-06-30 14:12:19,345 [1] INFO  Charon.Program - Current Directory: C:\Users\kwan\Desktop\damage.
2018-06-30 14:12:19,345 [1] INFO  Charon.Program - Application Data Path: C:\Users\kwan\Desktop\damage\Library\Charon\Users\kwan.
2018-06-30 14:12:19,345 [1] INFO  Charon.Program - Key Storage Path: C:\Users\kwan\Desktop\damage\Library\Charon\Users\kwan\Keys\.
2018-06-30 14:12:19,345 [1] INFO  Charon.Program - Server Address: https://gamedevware.com/service/api/.
2018-06-30 14:12:19,345 [1] INFO  Charon.Program - UI Language: .
2018-06-30 14:12:19,345 [1] INFO  Charon.Program - Allow Prompt: True.
2018-06-30 14:12:19,401 [1] INFO  Charon.Program - Machine: K
2018-06-30 14:12:19,401 [1] INFO  Charon.Program - Network MACs: 6476baa13b2a(Wireless80211)
2018-06-30 14:12:19,401 [1] INFO  Charon.Program - Network IPs: 2602:306:8b09:96b0::3f0
2018-06-30 14:12:19,401 [1] INFO  Charon.Program - Network DNSs: , attlocal.net
2018-06-30 14:12:19,401 [1] INFO  Charon.Program - User: kwan
2018-06-30 14:12:19,401 [1] INFO  Charon.Program - Domain Name: k
2018-06-30 14:12:19,401 [1] INFO  Charon.Program - Operating System: Microsoft Windows NT 6.2.9200.0
2018-06-30 14:12:19,401 [1] INFO  Charon.Program - Is 64-bit OS: True
2018-06-30 14:12:19,401 [1] INFO  Charon.Program - Is 64-bit Process: False
2018-06-30 14:12:19,401 [1] INFO  Charon.Program - Processor Count: 4
2018-06-30 14:12:19,401 [1] INFO  Charon.Program - Device Hash: 9daf6a47292d9da43a351d846792594b
2018-06-30 14:12:19,401 [1] INFO  Charon.Program - Is Mono Runtime: False
2018-06-30 14:12:19,401 [1] INFO  Charon.Program - CLR Version: 4.0.30319.42000
2018-06-30 14:12:20,946 [1] DEBUG Pluto.Messaging.Channels.Http.HttpChannel - Listening 'http://localhost:19859/' endpoints, prefixes are 'http://localhost:19859/'.
2018-06-30 14:12:21,112 [1] INFO  Charon.DataApplication - Route 'MessageChannelPushHandler' with 'channel/{channelId}/{*path}' is registered.
2018-06-30 14:12:21,112 [1] INFO  Charon.DataApplication - Route 'HttpRoute' with 'ws/{channelId}/{*path}' is registered.
2018-06-30 14:12:21,112 [1] INFO  Charon.DataApplication - Route 'EmbeddedResourceFileHandler' with 'app/{*path}' is registered.
2018-06-30 14:12:21,112 [1] INFO  Charon.DataApplication - Route 'HttpRoute' with 'data/documents/{entityName}/{*path}' is registered.
2018-06-30 14:12:21,112 [1] INFO  Charon.DataApplication - Route 'HttpRoute' with 'data/{controller}/{action}/{*path}' is registered.
2018-06-30 14:12:21,112 [1] INFO  Charon.DataApplication - Route 'HttpRoute' with 'api/{controller}/{action}.{ext}/{*path}' is registered.
2018-06-30 14:12:21,112 [1] INFO  Charon.DataApplication - Route 'HttpRoute' with 'api/{controller}/{action}/{*path}' is registered.
2018-06-30 14:12:21,112 [1] INFO  Charon.DataApplication - Route 'HttpRoute' with 'resources/{action}/{*path}' is registered.
2018-06-30 14:12:21,112 [1] INFO  Charon.DataApplication - Route 'IndexHtmlHandler' with '{*path}' is registered.
2018-06-30 14:12:21,205 [1] DEBUG Pluto.Meshing.MeshServer - is constructed.
2018-06-30 14:12:22,834 [11] INFO  Charon.DataSources.FileDataSource - Transaction (id: 5b371f46cab7e61d60d27fe2, Has Changes: False, Changed Documents: 0) was committed.
2018-06-30 14:12:53,790 [16] INFO  Charon.DataApplication - Validation failed with following errors:
[Generic] Document is protected from modification. path: 18d4bf318f3c49688087dbed
2018-06-30 14:14:09,074 [16] INFO  Charon.DataSources.FileDataSource - A change 'EntityCreate, entity: character' has been applied.
2018-06-30 14:14:09,102 [16] INFO  Charon.DataSources.FileDataSource - A change 'Create, entity: 18d4bf318f3c49688087dbed, new: character' has been applied.
2018-06-30 14:14:09,156 [16] INFO  Charon.DataSources.FileDataSource - Saving data to temporary file 'C:\Users\kwan\Desktop\damage\Assets\Editor\GameDevWare.Charon\GameData.gdjs.tmp'.
2018-06-30 14:14:09,165 [16] INFO  Charon.DataSources.FileDataSource - Replacing 'C:\Users\kwan\Desktop\damage\Assets\Editor\GameDevWare.Charon\GameData.gdjs' with file 'C:\Users\kwan\Desktop\damage\Assets\Editor\GameDevWare.Charon\GameData.gdjs.tmp'.
2018-06-30 14:14:09,169 [16] INFO  Charon.DataSources.FileDataSource - Transaction (id: 5b371fb1cab7e61d60d27fe4, Has Changes: True, Changed Documents: 1) was committed.
2018-06-30 14:14:09,170 [23] INFO  Charon.DataSources.FileDataSource - Trying to replace 'C:\Users\kwan\Desktop\damage\Assets\Editor\GameDevWare.Charon\GameData.gdjs' with file 'C:\Users\kwan\Desktop\damage\Assets\Editor\GameDevWare.Charon\GameData.gdjs.tmp'. Attempt #1.
2018-06-30 14:14:09,174 [23] INFO  Charon.DataSources.FileDataSource - Data was successfully saved to 'C:\Users\kwan\Desktop\damage\Assets\Editor\GameDevWare.Charon\GameData.gdjs'.
2018-06-30 14:21:07,405 [10] INFO  Charon.DataSources.FileDataSource - A change 'EntityUpdate, entity: 5b371fb1cab7e61d60d27fe6' has been applied.
2018-06-30 14:21:07,508 [10] INFO  Charon.DataSources.FileDataSource - A change 'EntitySetDescription, entity: 5b371fb1cab7e61d60d27fe6, description: ' has been applied.
2018-06-30 14:21:07,510 [10] INFO  Charon.DataSources.FileDataSource - A change 'Update, entity: 18d4bf318f3c49688087dbed, id: '5b371fb1cab7e61d60d27fe6', modified: 5b371fb1cab7e61d60d27fe6' has been applied.
2018-06-30 14:21:07,518 [10] INFO  Charon.DataSources.FileDataSource - A change 'AttributeSetDisplayName, entity: 5b371fb1cab7e61d60d27fe6, attribute: character, display name: name' has been applied.
2018-06-30 14:21:07,522 [10] INFO  Charon.DataSources.FileDataSource - A change 'Update, entity: 18d4bf318f3c49688087dbed, id: '5b371fb1cab7e61d60d27fe6', modified: 5b371fb1cab7e61d60d27fe6' has been applied.
2018-06-30 14:21:07,533 [10] INFO  Charon.DataSources.FileDataSource - A change 'AttributeSetDescription, entity: 5b371fb1cab7e61d60d27fe6, attribute: Id, description: ' has been applied.
2018-06-30 14:21:07,541 [10] INFO  Charon.DataSources.FileDataSource - A change 'Update, entity: 18d4bf318f3c49688087dbed, id: '5b371fb1cab7e61d60d27fe6', modified: 5b371fb1cab7e61d60d27fe6' has been applied.
